3	1931-09-18	九一八事变	日本关东军发动侵略，东北局势骤变，抗战序幕拉开。	/images/timeline/1931-09-18.jpg
4	1932-01-28	一·二八淞沪抗战	日军在上海挑衅，十九路军奋起抵抗，震动全国。	/images/timeline/1932-01-28.jpg
5	1932-03-09	伪满洲国成立	日本扶植伪政权，东北沦陷局势进一步固定化。	/images/timeline/1932-03-09.jpg
6	1933-05-31	塘沽协定	国民政府与日方签订协定，华北局势恶化。	/images/timeline/1933-05-31.jpg
7	1935-12-09	一二·九运动	北平学生发起抗日救亡运动，民族意识高涨。	/images/timeline/1935-12-09.jpg
8	1936-12-12	西安事变	张学良、杨虎城扣押蒋介石，推动国共合作抗日。	/images/timeline/1936-12-12.jpg
9	1937-07-07	卢沟桥事变	全民族抗战全面爆发的重要节点。	/images/timeline/1937-07-07.jpg
10	1937-08-13	淞沪会战爆发	中国军队在上海与日军展开大规模会战。	/images/timeline/1937-08-13.jpg
11	1937-12-13	南京大屠杀	南京陷落后日军实施大规模屠杀与暴行。	/images/timeline/1937-12-13.jpg
12	1938-06-09	花园口决堤	黄河花园口决堤，阻滞日军推进但造成巨大灾难。	/images/timeline/1938-06-09.gif
13	1938-10-25	武汉会战结束	武汉失守后，正面战场进入战略相持阶段。	/images/timeline/1938-10.jpg
14	1939-09-01	二战全面爆发	欧洲战争爆发，国际格局变化影响中国抗战。	/images/timeline/1939-09-01.jpg
15	1940-08-20	百团大战	八路军对华北日军交通线发动大规模破袭战。	/images/timeline/1940-08-20.jpg
16	1941-01-17	皖南事变	国共关系严重受挫，但抗战仍在艰难推进。	/images/timeline/1941-12-07.png
17	1941-12-07	太平洋战争爆发	珍珠港事件后，中日战争纳入世界反法西斯战争。	/images/timeline/1941-12-07.png
18	1942-05-01	滇缅战役与远征军	中国远征军入缅作战，国际协同抗战加强。	/images/timeline/1942-05-01.gif
19	1943-11-26	开罗宣言	中美英确认战后日本窃取中国领土应归还中国。	/images/timeline/1943.jpg
20	1944-04-17	豫湘桂会战	日军发动大规模进攻，中国战局进入最艰难阶段之一。	/images/timeline/1944-04-17.jpg
22	1945-09-02	对日受降签字	日本在密苏里号上签署投降书，抗战胜利完成。	/images/timeline/1945.jpg
